id,carat,cut,color,clarity,depth,table,x,y,z,price
1938,0.23,Very Good,E,VS1,60.5,63.0,3.98,4.0,2.42,375
141,0.31,Premium,H,VVS1,60.9,58.0,4.38,4.42,2.67,719
720,0.56,Ideal,D,SI1,62.9,56.0,5.27,5.22,3.3,1764
2,0.7,Ideal,G,VS1,61.2,57.0,5.69,5.73,3.5,2772
1852,0.32,Premium,G,IF,62.1,60.0,4.41,4.35,2.72,956
1868,0.7,Good,H,SI2,64.2,60.0,5.61,5.58,3.57,2001
1157,2.01,Premium,G,SI2,62.1,58.0,8.05,7.97,4.98,16857
339,0.3,Premium,G,SI1,61.9,58.0,4.26,4.31,2.65,522
630,0.23,Very Good,F,VVS2,62.2,55.0,3.98,4.0,2.47,505
494,0.3,Ideal,E,VVS1,62.5,57.0,4.3,4.28,2.68,844
572,0.9,Very Good,G,SI2,62.1,58.0,6.14,6.18,3.82,3543
265,1.05,Ideal,D,SI2,62.5,56.0,6.5,6.52,4.07,4809
376,1.11,Ideal,D,SI2,61.5,56.0,6.69,6.64,4.1,5645
1949,0.9,Very Good,H,VVS2,63.0,56.0,6.11,6.14,3.86,4940
1538,0.36,Very Good,G,SI1,61.9,56.0,4.56,4.6,2.84,507
439,0.71,Ideal,E,VS2,61.3,57.0,5.74,5.77,3.53,2964
271,0.68,Very Good,G,VS2,59.6,60.0,5.7,5.73,3.42,2188
184,0.77,Ideal,F,VS1,62.0,57.0,5.91,5.87,3.65,3585
937,1.16,Ideal,H,VVS1,60.8,55.0,6.77,6.84,4.15,8467
244,0.4,Very Good,D,SI1,62.0,61.0,4.67,4.71,2.91,777
544,0.3,Ideal,D,VS2,61.6,57.0,4.32,4.39,2.68,710
445,0.5,Very Good,G,SI2,64.2,58.0,5.03,4.96,3.2,1133
1036,0.39,Ideal,G,VS1,62.4,57.0,4.68,4.64,2.91,1097
1593,1.54,Premium,E,SI1,59.9,59.0,7.5,7.54,4.49,10137
752,2.0,Premium,H,SI1,58.5,62.0,8.15,8.1,4.8,15185
909,1.02,Premium,I,SI2,62.3,59.0,6.43,6.38,4.0,3786
1797,0.5,Premium,D,VS2,61.0,59.0,5.13,5.1,3.12,1845
678,0.4,Ideal,E,VS1,60.7,57.0,4.85,4.82,2.93,1068
415,0.77,Very Good,E,SI1,62.1,56.0,5.88,5.92,3.65,2891
273,0.7,Ideal,E,VS2,62.1,57.0,5.7,5.68,3.54,2824
1720,0.52,Ideal,F,VS1,62.2,55.0,5.16,5.19,3.22,1600
1813,1.21,Ideal,H,VS1,61.5,56.0,6.89,6.86,4.23,7404
1453,1.71,Ideal,H,SI2,62.5,56.0,7.63,7.69,4.79,9120
250,0.33,Ideal,G,VS1,62.3,56.0,4.39,4.42,2.74,666
413,0.34,Ideal,E,VS2,62.5,55.0,4.5,4.47,2.81,784
614,0.31,Very Good,D,SI1,61.0,58.0,4.33,4.37,2.66,616
1604,0.41,Premium,J,VVS1,61.6,59.0,4.73,4.76,2.92,827
610,0.75,Premium,E,VS2,60.3,58.0,5.89,5.85,3.55,2901
310,1.2,Premium,G,VS1,60.3,58.0,6.9,6.88,4.16,8442
1510,0.3,Ideal,E,VS2,61.9,56.0,4.35,4.31,2.68,844
381,1.5,Very Good,H,VS2,62.8,57.0,7.24,7.31,4.57,10083
1788,0.37,Ideal,F,VS1,62.4,54.0,4.61,4.64,2.89,741
425,1.5,Premium,G,SI2,60.9,62.0,7.32,7.39,4.48,8414
530,0.3,Very Good,F,VS2,62.9,59.0,4.25,4.28,2.68,605
1317,0.3,Ideal,H,VS2,62.5,56.0,4.26,4.29,2.68,491
1237,1.16,Very Good,G,VS2,62.8,56.0,6.69,6.72,4.21,7500
1355,0.57,Premium,E,SI2,61.1,56.0,5.38,5.32,3.27,1264
408,1.01,Very Good,F,SI2,63.4,57.0,6.38,6.35,4.03,4239
1613,0.9,Very Good,F,SI1,61.9,58.0,6.1,6.15,3.78,4170
692,0.32,Ideal,F,VS2,62.1,54.0,4.4,4.4,2.73,828
1553,2.01,Very Good,J,VS1,59.5,59.0,8.23,8.29,4.91,16068
931,0.82,Ideal,I,SI1,62.4,55.0,5.92,5.97,3.71,2701
1682,0.32,Ideal,E,VS2,61.1,56.0,4.41,4.43,2.7,767
1061,0.4,Ideal,G,VVS2,62.2,56.0,4.76,4.77,2.96,1050
1010,1.51,Premium,H,VS2,62.6,58.0,7.26,7.22,4.53,10863
1323,1.22,Ideal,G,VVS2,62.3,56.0,6.89,6.82,4.27,9316
654,0.3,Ideal,G,VS1,62.2,56.0,4.29,4.32,2.68,645
182,0.5,Good,E,VS2,63.6,57.0,5.08,5.04,3.21,1436
1444,1.03,Ideal,H,SI1,61.9,57.0,6.48,6.5,4.02,4921
1173,0.31,Good,G,VS2,63.1,57.0,4.34,4.38,2.75,544
170,1.28,Ideal,J,SI2,62.1,57.0,6.91,6.86,4.28,4548
292,0.5,Premium,H,SI1,62.0,59.0,5.05,5.02,3.11,1094
1463,1.03,Ideal,G,VS1,62.0,56.0,6.48,6.5,4.03,6620
585,1.04,Premium,G,VS1,62.4,58.0,6.46,6.48,4.04,6366
300,0.5,Premium,G,VS1,61.3,60.0,5.11,5.07,3.12,1746
1875,1.5,Very Good,J,VS2,63.4,58.0,7.23,7.27,4.6,7418
1650,0.52,Ideal,E,SI1,61.4,55.0,5.18,5.2,3.19,1654
1114,1.56,Premium,H,VS1,61.8,59.0,7.46,7.4,4.59,12377
272,0.7,Ideal,I,SI2,61.1,57.0,5.72,5.75,3.51,1864
1548,0.33,Ideal,G,VVS1,61.0,56.0,4.49,4.52,2.74,799
963,0.34,Premium,H,VS2,61.0,60.0,4.48,4.53,2.74,537
900,0.31,Ideal,I,SI1,62.0,56.0,4.33,4.31,2.68,388
371,1.01,Very Good,D,SI1,63.3,58.0,6.38,6.35,4.03,5667
1658,1.56,Premium,H,SI1,58.3,59.0,7.67,7.59,4.44,11979
1883,1.01,Very Good,D,SI1,62.4,61.0,6.34,6.39,3.97,5947
978,0.72,Premium,F,SI2,61.7,62.0,5.75,5.7,3.54,2309
1922,1.02,Ideal,H,SI1,60.7,56.0,6.58,6.51,3.98,4812
518,1.22,Ideal,G,VS2,62.0,57.0,6.82,6.86,4.23,7835
334,0.9,Ideal,H,SI1,62.0,55.0,6.2,6.22,3.85,3980
693,2.01,Premium,G,SI1,62.0,58.0,8.1,8.04,5.0,18818
1165,0.99,Fair,G,SI2,59.5,66.0,6.37,6.48,3.8,3538
1783,0.55,Very Good,E,SI1,63.5,56.0,5.2,5.24,3.31,1549
602,0.25,Ideal,G,VVS1,62.3,57.0,4.04,4.08,2.53,498
15,0.33,Premium,E,VS2,61.7,59.0,4.39,4.43,2.72,723
1696,0.9,Good,H,VS1,63.1,62.0,6.1,6.08,3.83,4326
1381,0.31,Ideal,H,VS2,61.4,57.0,4.37,4.42,2.7,489
1684,0.38,Ideal,G,VS1,61.4,56.0,4.71,4.68,2.88,983
1389,1.02,Premium,E,SI1,60.6,62.0,6.44,6.56,3.94,5426
964,0.35,Ideal,G,VS1,62.0,56.0,4.5,4.52,2.8,706
465,2.01,Very Good,H,SI2,63.5,60.0,7.98,7.93,5.05,15223
767,1.22,Ideal,H,VS2,60.7,59.0,6.92,6.89,4.19,5885
199,0.5,Premium,E,VS2,60.9,58.0,5.16,5.19,3.15,1746
1290,0.91,Very Good,G,SI1,62.6,57.0,6.18,6.22,3.88,3965
1054,0.59,Ideal,G,SI1,62.3,55.0,5.34,5.38,3.34,1343
1994,1.58,Ideal,G,VS1,61.5,55.0,7.52,7.55,4.63,14127
1299,0.53,Ideal,G,VVS1,62.0,56.0,5.2,5.17,3.22,1980
1281,0.31,Good,G,VS1,63.1,55.0,4.28,4.31,2.71,604
1622,0.24,Ideal,D,VS1,61.5,58.0,4.0,4.03,2.46,455
1399,0.7,Premium,F,SI1,63.0,60.0,5.61,5.57,3.53,2401
1412,0.54,Very Good,F,VS2,61.9,58.0,5.19,5.22,3.23,1668
1179,0.3,Ideal,G,VS2,62.4,56.0,4.36,4.34,2.71,675
1557,1.51,Very Good,H,SI2,63.0,57.0,7.3,7.28,4.59,8464
43,1.5,Very Good,G,SI1,63.3,56.0,7.27,7.29,4.61,10574
274,0.38,Ideal,E,VVS1,61.5,56.0,4.69,4.64,2.86,1356
1333,0.31,Premium,G,VVS1,61.7,59.0,4.33,4.35,2.68,1046
101,0.52,Premium,D,SI1,60.9,58.0,5.24,5.2,3.17,1646
1361,0.72,Premium,I,VS1,59.2,58.0,5.96,5.88,3.48,2330
727,1.2,Ideal,I,SI1,62.7,56.0,6.73,6.79,4.23,5410
1226,1.56,Ideal,I,VS2,62.3,56.0,7.47,7.43,4.63,9759
107,1.01,Very Good,E,SI1,63.3,57.0,6.36,6.33,4.01,4529
1554,1.0,Good,G,VS2,62.6,61.0,6.31,6.37,3.97,6955
497,1.5,Ideal,H,SI2,63.0,56.0,7.31,7.25,4.59,10476
1979,1.71,Premium,G,VS2,60.9,60.0,7.79,7.7,4.72,15619
879,0.3,Ideal,I,SI2,62.3,57.0,4.25,4.23,2.65,351
1083,0.3,Very Good,D,SI1,58.3,60.0,4.26,4.3,2.51,524
617,0.7,Very Good,E,VS1,62.9,57.0,5.62,5.64,3.54,2441
1105,2.0,Very Good,G,SI2,63.0,56.0,7.87,7.94,5.0,16817
1359,1.02,Very Good,H,SI1,64.1,56.0,6.35,6.38,4.08,4404
613,0.53,Very Good,G,VVS1,62.9,57.0,5.12,5.21,3.25,2028
701,1.26,Ideal,I,VS1,61.8,56.0,6.94,7.0,4.32,7500
72,0.75,Very Good,E,SI1,62.1,58.0,5.79,5.82,3.61,2705
1220,0.9,Very Good,H,VVS2,62.1,56.0,6.15,6.17,3.83,4389
1509,0.76,Premium,F,VVS1,60.1,58.0,5.95,5.92,3.55,3347
1309,2.01,Premium,H,VS2,60.1,60.0,8.02,7.96,4.84,16239
1144,0.2,Premium,E,VS2,61.1,60.0,3.81,3.78,2.4,367
481,0.8,Ideal,E,SI1,62.5,57.0,5.96,5.99,3.73,3447
1067,0.52,Ideal,G,SI1,61.8,56.0,5.19,5.14,3.2,1318
506,0.9,Good,H,VS1,63.3,55.0,6.11,6.14,3.86,3689
1164,2.0,Premium,F,SI2,60.5,59.0,8.09,8.14,4.93,16025
788,1.1,Good,H,SI1,60.9,62.0,6.6,6.64,4.03,4878
1988,1.23,Ideal,J,VS2,61.9,57.0,6.87,6.89,4.26,6135
1617,1.01,Very Good,H,SI1,63.4,59.0,6.4,6.39,4.05,4884
1473,0.32,Ideal,E,VVS1,61.9,56.0,4.38,4.41,2.72,912
1826,0.3,Ideal,E,VS1,61.6,57.0,4.27,4.3,2.64,603
311,0.7,Premium,G,VS1,58.3,58.0,5.9,5.86,3.42,2567
1764,0.5,Ideal,D,VS2,62.2,56.0,5.07,5.1,3.16,1857
405,0.32,Ideal,E,VS2,62.3,55.0,4.42,4.38,2.74,900
1448,0.42,Ideal,E,SI2,62.4,57.0,4.76,4.8,2.98,716
1713,1.02,Premium,G,VS1,62.5,58.0,6.36,6.41,3.99,7198
309,0.57,Very Good,H,VVS1,60.8,57.0,5.32,5.34,3.23,1968
226,1.01,Premium,H,VS2,62.5,58.0,6.45,6.41,4.02,4911
1697,1.04,Very Good,H,SI1,62.4,54.0,6.47,6.49,4.04,4106
1187,1.06,Very Good,F,SI2,61.2,59.0,6.6,6.56,4.03,4936
1623,0.42,Ideal,F,VVS1,62.1,55.0,4.81,4.83,2.99,1224
1211,1.29,Premium,I,VS1,59.2,60.0,7.05,7.02,4.22,6982
1802,0.78,Ideal,E,VS2,62.0,56.0,5.91,5.87,3.66,3427
148,1.11,Very Good,E,SI2,63.3,61.0,6.56,6.52,4.14,5400
1366,0.33,Ideal,G,VVS1,62.5,54.0,4.43,4.47,2.78,838
712,2.01,Ideal,F,SI2,62.2,56.0,8.11,8.05,5.03,13846
829,0.3,Ideal,I,VS2,61.0,56.0,4.33,4.36,2.65,407
817,0.42,Premium,G,VS2,60.0,58.0,4.85,4.88,2.92,1087
834,0.32,Premium,H,VS1,61.0,59.0,4.42,4.37,2.68,675
575,0.7,Very Good,H,SI1,62.2,57.0,5.68,5.66,3.52,2331
557,1.51,Ideal,I,VS1,62.2,53.8,7.36,7.39,4.58,10411
843,1.05,Very Good,I,VS1,63.0,56.0,6.49,6.45,4.07,4579
1652,0.53,Ideal,G,SI1,62.4,55.0,5.18,5.15,3.22,1305
1555,0.38,Ideal,D,SI2,62.9,55.0,4.67,4.63,2.92,812
1160,0.71,Ideal,E,SI2,61.5,57.0,5.73,5.68,3.51,2507
1921,0.51,Ideal,H,VS1,62.6,55.0,5.09,5.14,3.21,1546
286,0.51,Ideal,G,SI2,62.6,57.0,5.08,5.12,3.2,1181
1628,0.72,Very Good,G,VS1,63.3,53.0,5.69,5.72,3.62,2441
736,0.79,Ideal,E,SI2,61.9,55.0,5.94,5.99,3.68,2726
598,0.3,Ideal,F,VVS1,62.0,56.0,4.27,4.3,2.66,742
930,1.13,Premium,E,SI1,62.2,58.0,6.64,6.68,4.15,6071
915,0.3,Good,G,VVS2,63.9,55.0,4.27,4.28,2.72,678
1738,1.12,Premium,G,SI2,62.3,57.0,6.65,6.6,4.13,4956
1586,0.4,Premium,G,VVS2,61.9,59.0,4.68,4.74,2.92,1050
1471,1.0,Premium,H,SI2,62.4,59.0,6.37,6.41,3.99,3696
1229,1.13,Ideal,H,I1,61.5,56.0,6.73,6.69,4.12,3534
1766,1.06,Ideal,I,I1,62.3,57.0,6.53,6.47,4.05,3455
1532,1.2,Fair,H,SI1,65.2,55.0,6.65,6.59,4.32,5869
1103,1.5,Premium,I,VS2,60.1,60.0,7.39,7.35,4.42,7773
1424,1.01,Premium,E,SI2,59.0,59.0,6.59,6.55,3.88,3402
765,0.7,Good,H,VS1,63.8,59.6,5.57,5.54,3.55,2180
609,0.42,Ideal,E,VVS2,61.7,56.0,4.82,4.78,2.96,1238
1043,0.72,Good,E,VS1,63.7,60.0,5.7,5.66,3.62,3043
1784,2.06,Good,E,I1,62.6,58.0,8.06,8.03,5.04,6229
1421,0.3,Premium,H,SI1,62.7,58.0,4.27,4.23,2.67,554
1368,1.05,Very Good,H,VS2,59.5,58.0,6.57,6.61,3.93,4912
493,0.29,Ideal,F,VS2,62.6,57.0,4.2,4.24,2.64,607
1319,1.1,Ideal,E,VVS2,61.5,56.0,6.65,6.62,4.08,10580
277,0.9,Very Good,D,SI2,59.9,61.0,6.19,6.24,3.71,3656
1904,1.25,Ideal,H,SI1,62.7,57.0,6.86,6.81,4.29,6682
358,0.51,Ideal,G,IF,62.6,54.0,5.08,5.11,3.19,2176
1449,0.9,Very Good,G,VS1,62.8,57.0,6.12,6.15,3.86,4508
236,1.01,Very Good,F,SI2,62.8,56.0,6.36,6.4,4.0,4592
551,0.31,Ideal,F,SI1,61.3,55.0,4.39,4.35,2.68,618
1866,1.52,Very Good,D,SI2,60.4,63.0,7.47,7.41,4.49,10331
1911,0.3,Ideal,D,SI2,60.2,57.0,4.37,4.34,2.62,534
208,0.9,Very Good,G,SI1,63.4,57.0,6.07,6.09,3.86,3673
1385,1.57,Very Good,J,VS2,62.6,58.0,7.43,7.4,4.65,9078
1559,0.9,Very Good,D,SI1,62.1,57.0,6.19,6.16,3.83,5033
58,0.52,Ideal,G,VVS2,61.8,57.0,5.19,5.17,3.2,1835
631,0.5,Good,E,SI1,63.3,60.0,5.04,5.07,3.19,1406
1583,0.42,Premium,D,VS2,61.2,59.0,4.87,4.84,2.96,1295
1858,2.03,Very Good,I,VS2,60.5,59.0,8.3,8.26,4.99,16389
1576,0.27,Very Good,E,VS1,61.9,59.0,4.16,4.21,2.59,470
363,0.54,Ideal,H,SI1,62.3,54.0,5.23,5.28,3.27,1362
505,0.32,Premium,G,VVS1,61.3,59.0,4.4,4.43,2.7,1013
1106,1.15,Very Good,H,SI2,62.3,59.0,6.64,6.73,4.18,4130
1120,2.21,Premium,D,SI2,61.2,58.0,8.38,8.34,5.12,17685
1602,0.31,Ideal,F,VS2,62.2,57.0,4.34,4.38,2.71,625
1729,1.5,Premium,E,SI2,61.8,59.0,7.33,7.34,4.53,7404
1387,1.56,Ideal,H,SI1,61.7,56.0,7.43,7.47,4.6,10071
1704,0.93,Ideal,E,SI1,62.6,57.0,6.18,6.23,3.89,4434
813,0.83,Ideal,G,VS1,62.6,56.0,6.02,5.98,3.75,3566
118,1.06,Premium,E,SI2,60.9,59.0,6.58,6.56,4.02,4504
1727,0.54,Ideal,G,VS1,61.9,55.0,5.22,5.25,3.23,1836
764,0.51,Ideal,E,VS1,62.3,57.0,5.13,5.08,3.18,1682
522,0.33,Ideal,G,VS2,60.8,56.0,4.45,4.49,2.72,586
513,0.32,Ideal,F,VS2,62.2,55.0,4.41,4.37,2.73,645
81,2.02,Premium,G,SI2,61.3,59.0,8.17,8.08,4.99,16104
1393,0.41,Ideal,E,SI1,61.8,55.0,4.76,4.79,2.95,755
1668,0.53,Very Good,D,VS2,62.0,56.0,5.19,5.23,3.23,1919
380,0.41,Ideal,E,VVS1,60.9,56.0,4.77,4.83,2.92,1436
1102,1.01,Premium,G,VS1,61.3,62.0,6.37,6.39,3.91,6354
1980,0.74,Good,F,SI1,63.1,60.0,5.72,5.74,3.61,2705
84,1.01,Very Good,G,SI1,62.4,59.0,6.34,6.37,3.97,4560
1676,0.32,Ideal,D,VS1,62.4,54.0,4.36,4.39,2.73,817
329,0.51,Ideal,E,VS2,60.9,56.0,5.18,5.22,3.18,1654
6,0.74,Ideal,E,VS2,61.8,57.0,5.76,5.79,3.57,3229
743,0.4,Ideal,D,SI2,61.9,56.0,4.75,4.78,2.95,653
756,0.35,Ideal,H,VVS1,62.3,57.0,4.52,4.49,2.81,816
1552,1.52,Premium,H,SI1,60.6,58.0,7.38,7.42,4.49,9625
1679,1.09,Ideal,G,VS2,62.5,58.0,6.6,6.56,4.11,6566
451,1.02,Ideal,G,VS2,62.4,57.0,6.49,6.44,4.03,6451
490,1.05,Ideal,G,SI1,62.9,56.0,6.44,6.47,4.06,5105
1830,0.7,Very Good,H,SI1,62.6,57.0,5.61,5.68,3.53,2112
287,0.76,Very Good,H,SI2,61.9,56.0,5.89,5.85,3.63,2337
1620,1.59,Premium,E,SI2,61.6,58.0,7.47,7.43,4.58,10396
1984,0.31,Ideal,F,VS2,62.2,54.0,4.33,4.35,2.7,625
1865,1.21,Premium,G,SI1,62.8,57.0,6.78,6.71,4.24,6416
1422,0.7,Very Good,F,SI2,61.3,58.0,5.68,5.7,3.48,2092
1457,0.7,Good,D,SI2,60.7,62.0,5.69,5.72,3.46,2398
1310,1.22,Premium,H,VVS1,61.8,58.0,6.88,6.85,4.24,10562
1758,0.77,Ideal,E,SI1,62.2,56.0,5.87,5.91,3.65,3189
1128,0.7,Good,I,VS2,63.3,59.0,5.6,5.64,3.56,2184
1674,0.4,Ideal,E,SI1,62.4,54.0,4.72,4.76,2.95,687
1831,1.01,Ideal,G,VS1,62.4,56.0,6.38,6.41,3.99,7862
1087,0.32,Premium,E,SI2,61.5,59.0,4.39,4.43,2.71,576
1649,0.3,Very Good,G,IF,62.4,57.0,4.23,4.26,2.65,895
327,0.31,Ideal,G,VVS1,60.4,56.0,4.38,4.44,2.67,789
442,2.01,Ideal,H,SI1,62.2,56.0,8.05,8.07,5.01,18493
772,0.4,Very Good,D,SI2,60.1,58.0,4.74,4.8,2.87,612
1078,0.41,Premium,G,VS1,60.5,60.0,4.75,4.77,2.88,961
922,2.01,Premium,H,SI1,62.7,59.0,8.08,8.04,5.06,14925
1404,1.01,Ideal,F,IF,61.1,56.0,6.47,6.5,3.95,10800
177,1.36,Ideal,I,SI2,62.3,57.0,7.01,7.09,4.4,5584
1245,0.33,Ideal,G,VS2,61.7,55.0,4.46,4.48,2.76,629
1902,1.01,Premium,F,VS2,62.1,59.0,6.43,6.37,3.97,6596
86,0.32,Ideal,H,VS1,62.3,56.0,4.38,4.35,2.72,720
1407,0.42,Premium,F,VVS2,60.8,59.0,4.82,4.85,2.94,1232
1898,0.5,Ideal,E,SI2,62.9,57.0,5.09,5.05,3.19,1154
457,1.02,Premium,D,SI1,61.0,60.0,6.48,6.44,3.94,6025
1827,0.39,Premium,E,VS1,61.5,59.0,4.73,4.7,2.89,1060
54,0.31,Ideal,F,VS2,62.3,55.0,4.35,4.37,2.71,696
1540,1.11,Premium,H,SI2,63.0,56.0,6.68,6.62,4.18,4284
643,0.41,Ideal,G,SI1,61.5,53.0,4.8,4.82,2.96,754
677,2.05,Premium,H,SI2,59.8,60.0,8.32,8.37,4.97,11965
221,1.5,Good,G,SI2,60.5,59.0,7.35,7.39,4.46,9282
113,1.01,Very Good,D,SI2,63.1,58.0,6.36,6.4,4.03,4427
1564,0.71,Premium,I,VS2,59.5,60.0,5.84,5.87,3.47,2394
1675,1.57,Very Good,J,SI1,59.5,59.0,7.56,7.6,4.51,7418
1001,0.3,Premium,H,VS1,62.6,59.0,4.29,4.25,2.67,630
174,0.3,Ideal,F,VS2,61.9,55.0,4.31,4.28,2.66,776
1844,1.01,Very Good,G,SI2,63.1,58.0,6.38,6.44,4.04,4514
589,0.51,Ideal,E,VS2,62.8,55.0,5.08,5.05,3.18,1692
1558,1.16,Ideal,G,SI1,62.6,55.0,6.76,6.71,4.21,6301
18,1.01,Premium,G,VVS1,61.8,58.0,6.44,6.37,3.96,8701
423,0.58,Very Good,G,VS2,61.0,61.0,5.37,5.34,3.27,1641
1342,0.31,Very Good,H,VS1,62.8,58.0,4.31,4.34,2.72,544
285,0.52,Ideal,E,VS2,62.5,57.0,5.15,5.17,3.23,1777
1582,0.7,Very Good,J,SI1,61.5,62.0,5.64,5.68,3.48,1922
428,0.3,Good,G,VS1,63.6,56.0,4.24,4.27,2.7,605
1940,0.3,Ideal,E,VVS1,62.0,55.0,4.3,4.33,2.68,826
903,1.51,Ideal,F,SI1,61.9,56.0,7.37,7.4,4.56,12308
669,1.0,Ideal,D,SI1,61.3,57.0,6.47,6.42,3.94,6062
31,0.9,Fair,F,SI1,66.8,58.0,6.05,5.99,3.97,2977
938,1.02,Ideal,G,SI2,60.1,57.0,6.56,6.53,3.91,3604
722,1.5,Very Good,F,SI2,62.6,60.0,7.15,7.18,4.49,8758
1501,0.71,Good,F,VS1,63.5,55.0,5.59,5.66,3.58,2459
214,2.18,Premium,H,SI2,61.3,58.0,8.26,8.34,5.09,16941
1080,1.02,Premium,F,VVS1,62.9,58.0,6.37,6.33,4.01,9384
326,0.33,Ideal,E,VS2,62.0,55.0,4.42,4.39,2.73,928
560,0.41,Very Good,G,VS2,60.4,61.0,4.78,4.74,2.87,835
1111,0.7,Very Good,H,VS1,61.7,58.0,5.69,5.71,3.51,2274
700,1.6,Ideal,G,VVS2,61.4,56.0,7.5,7.54,4.62,15102
1037,0.46,Ideal,E,VS2,62.3,56.0,4.95,4.97,3.1,1173
1378,0.53,Ideal,D,VS2,61.1,56.0,5.23,5.29,3.21,1805
341,1.03,Premium,D,SI2,62.4,58.0,6.45,6.37,4.0,4670
629,1.07,Premium,D,SI1,61.3,59.0,6.54,6.57,4.02,6366
147,0.7,Good,D,VVS2,64.0,55.0,5.55,5.63,3.58,2527
1196,0.86,Ideal,H,SI1,61.8,56.0,6.09,6.12,3.77,3266
360,0.3,Ideal,D,VS2,61.7,56.0,4.3,4.33,2.66,710
83,1.54,Premium,G,VS1,62.4,59.0,7.37,7.35,4.6,12388
48,0.42,Ideal,G,VS1,61.6,56.0,4.82,4.85,2.98,877
468,1.06,Ideal,G,SI1,61.9,56.0,6.57,6.54,4.06,5292
155,1.29,Very Good,H,SI1,63.1,56.0,6.88,6.81,4.32,6533
1161,1.05,Ideal,E,SI1,62.8,57.0,6.47,6.52,4.07,6098
1331,2.01,Very Good,I,SI1,63.5,59.0,7.89,7.98,5.07,14220
1542,1.05,Premium,F,SI2,62.5,60.0,6.45,6.43,4.03,4586
1401,0.54,Ideal,H,SI2,61.0,56.0,5.25,5.31,3.22,1000
